,Cbal,Cdur,Chist,Camt,Sbal,InRate,Oparties,age,inPlans,NumCred,Ndepend,Cpur_domestic,Cpur_education,Cpur_electronics,Cpur_miscellaneous,Cpur_vehicle,Edur_4 to 7 years,Edur_less than 1 year,Edur_more than 7 years,Edur_not employed,Htype_own,Htype_pays rent,JobType_employee with official position,JobType_non resident either unemployed or  unskilled ,JobType_resident unskilled,0
642,2,24,0,13650,3000,4,0,47,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
762,-1,36,0,27000,500,2,0,41,1,1,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,
909,-1,11,-1,39270,500,1,0,40,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
199,0,11,-1,11420,3000,4,0,57,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1.0
586,-1,30,0,45710,500,2,1,32,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
797,0,15,-1,33310,500,4,0,28,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
652,0,21,0,24640,0,4,0,46,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,
755,1,36,0,74200,500,2,0,54,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
416,0,39,0,25570,7500,4,0,24,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
498,-1,24,0,35400,500,3,0,27,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,
514,1,9,0,10700,500,4,0,27,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,
456,-1,6,-1,13490,500,2,0,40,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,
881,0,10,0,15340,500,3,0,31,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
530,-1,12,-1,3730,500,4,0,58,0,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,
180,-1,24,0,9030,0,4,0,29,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1.0
449,0,39,0,85760,3000,4,0,45,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,
752,-1,36,-1,96170,500,4,0,24,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,
809,-1,12,0,6400,500,4,0,24,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,
266,0,12,-1,57890,0,2,0,49,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1.0
58,-1,33,-1,42690,7500,1,0,23,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
246,0,30,0,47990,0,2,0,24,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1.0
128,-1,12,0,6620,3000,4,0,20,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1.0
692,1,12,0,8290,3000,2,0,23,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,
606,1,30,0,34840,10000,4,0,34,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
831,0,15,-1,18170,500,4,0,46,0,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
687,-1,12,0,12620,500,3,0,37,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,
87,0,12,-1,6700,3000,4,0,51,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1.0
763,-1,8,-1,7190,500,4,0,47,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,
813,0,15,0,8620,0,4,0,24,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
578,0,12,0,14810,500,4,0,34,0,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,
533,1,24,0,27060,500,3,0,20,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,
649,1,9,0,21060,500,2,0,37,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,
999,-1,36,-1,62170,500,4,1,23,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,
658,2,24,-1,31360,0,3,0,31,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
802,-1,24,0,24270,500,4,0,35,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,
255,-1,36,0,27340,500,4,0,31,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0
691,-1,18,0,9640,500,1,0,23,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,
637,0,12,-1,9140,500,1,0,38,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,
712,0,21,-1,32630,500,1,0,36,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,
615,0,30,-1,45180,500,4,0,26,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,
706,-1,30,0,30960,500,2,0,31,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,
85,1,48,0,35540,3000,4,0,30,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.0
890,1,18,-1,35780,500,3,0,40,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,
701,-1,18,-1,21120,500,4,0,24,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,
247,-1,12,0,7150,3000,4,0,33,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1.0
854,-1,24,0,31490,500,4,0,31,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
528,-1,18,0,12050,500,4,0,47,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,
195,1,60,0,74060,0,1,0,27,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.0
948,0,12,0,30470,10000,2,0,61,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,
600,2,12,0,12850,500,3,0,23,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,
359,1,18,0,10300,0,4,0,33,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
847,1,36,0,36990,0,2,0,27,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,
761,2,12,0,30040,500,3,0,24,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
668,1,48,0,64040,500,4,0,59,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,
437,0,24,-1,15730,500,4,0,40,0,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,
833,1,36,-1,57880,500,3,0,34,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
177,1,21,0,27550,3000,4,0,61,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.0
83,-1,18,0,24500,500,2,0,22,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
573,0,9,0,19680,500,2,1,19,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,
264,0,18,-1,10160,500,4,0,36,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
28,-1,18,0,22370,3000,4,0,30,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.0
157,2,36,0,39010,500,2,0,23,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0
27,1,36,0,126000,3000,1,0,47,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0
48,-1,24,0,77090,0,1,0,30,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1.0
238,0,18,0,25030,500,3,0,43,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
193,0,24,0,41390,3000,2,0,35,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
745,-1,36,0,92590,500,2,0,24,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,
312,0,10,-1,21340,500,1,0,23,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,
816,-1,18,0,19280,500,3,1,36,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
155,1,6,-1,9200,0,1,0,39,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1.0
387,1,7,0,25640,500,2,1,35,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
61,0,24,-1,38560,500,4,0,41,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0
884,-1,15,0,18330,500,4,1,46,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,
800,0,24,-1,57920,10000,4,0,27,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
623,0,24,-1,50910,500,3,0,47,0,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
351,0,33,-1,72410,500,3,0,35,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,
103,1,10,0,72960,500,2,0,70,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
51,2,15,0,3800,500,4,0,23,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1.0
197,-1,12,0,21370,500,4,0,29,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0
790,-1,20,-1,22230,500,4,1,33,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
324,0,30,0,42600,3000,2,0,26,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
294,0,10,0,7150,7500,4,0,46,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.0
99,0,6,-1,18860,0,1,0,34,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.0
243,-1,10,-1,10260,500,4,1,49,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1.0
81,1,36,0,47830,500,4,0,30,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0
385,0,9,-1,12320,0,4,0,41,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,
891,-1,36,0,21330,500,2,0,24,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,
556,1,60,0,91450,0,2,0,27,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
630,-1,15,-1,9630,500,2,0,25,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
958,1,24,0,125670,500,4,0,44,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
665,0,6,-1,2380,10000,2,0,41,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
796,0,10,0,8820,0,4,0,40,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,
427,0,24,0,37450,500,4,1,62,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,
885,1,48,0,83460,7500,1,0,30,0,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,
895,-1,24,-1,12190,10000,4,0,57,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,
121,1,36,0,44430,500,2,0,30,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
270,-1,24,-1,66030,500,2,0,75,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
10,0,36,0,81210,500,1,0,30,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
839,-1,18,0,41410,500,2,1,42,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
823,0,18,-1,10860,500,4,0,65,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,
445,0,10,0,12970,0,4,1,27,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
529,-1,12,-1,22340,500,3,0,60,0,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,
65,-1,12,-1,21090,500,4,0,30,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
358,0,21,0,27700,7500,1,0,31,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,
631,1,15,0,26190,3000,3,0,25,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,
988,0,11,-1,72160,500,1,0,39,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
92,2,36,0,58360,500,4,0,24,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0
30,0,12,-1,6060,500,4,0,56,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1.0
73,0,18,0,19720,500,4,0,47,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
447,1,15,0,68380,3000,1,0,34,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
293,-1,12,0,61870,500,4,0,28,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.0
726,0,22,0,26630,7500,3,0,40,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
429,0,6,0,35060,500,2,1,26,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,
791,0,24,-1,40300,0,3,0,43,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,
595,-1,14,0,39610,500,1,0,22,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,
924,0,24,-1,20160,500,2,0,30,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,
928,-1,24,0,65670,500,4,0,29,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
985,0,11,-1,13810,500,4,0,35,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,
406,-1,24,0,16470,500,4,0,29,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,
620,0,6,0,15260,500,1,0,56,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,
400,-1,36,0,36080,500,1,1,37,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
227,1,48,0,75700,3000,2,0,31,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0
661,1,6,0,4210,10000,4,0,24,1,1,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,
546,0,24,-1,45140,500,3,0,74,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
239,1,21,-1,27330,10000,3,0,32,0,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1.0
682,0,21,0,31480,0,4,0,41,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
793,-1,18,0,14300,500,4,0,32,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,
91,0,10,0,19120,500,1,0,38,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0
781,0,21,0,29810,500,3,0,28,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
175,-1,24,0,18110,500,4,0,30,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.0
194,1,9,0,20180,0,2,0,24,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1.0
439,2,6,-1,13110,3000,2,0,28,0,2,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
579,-1,42,0,43580,500,3,0,26,1,2,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,
192,1,30,0,21380,500,4,1,24,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.0
499,1,18,-1,19160,500,2,0,31,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,
145,-1,30,-1,106110,500,3,0,38,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0
932,-1,18,0,19240,0,2,0,23,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,
563,-1,12,0,18460,500,4,0,22,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,
523,1,36,0,23720,500,4,0,33,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,
144,0,12,-1,14830,500,4,0,38,0,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1.0
536,-1,24,0,14300,500,4,0,23,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,
86,-1,6,-1,8480,500,1,0,39,0,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1.0
328,1,15,-1,23140,7500,2,0,27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
724,1,20,0,64560,0,1,0,60,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
101,0,18,-1,10430,500,4,0,30,0,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1.0
822,1,30,-1,21690,0,4,0,36,0,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
39,1,20,0,70450,0,3,0,36,1,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.0
